event_name,event_date,event_city,event_state,event_country,event_url
UFC Fight Night: Korean Zombie vs. Rodriguez,2018-11-10,Denver,Colorado,USA,http://ufcstats.com/event-details/42c96a9c4802e2e1
UFC 230: Cormier vs. Lewis,2018-11-03,New York City,New York,USA,http://ufcstats.com/event-details/20821819c401ced8
UFC Fight Night: Oezdemir vs. Smith,2018-10-27,Moncton,New Brunswick,Canada,http://ufcstats.com/event-details/33a331684283900f
UFC 229: Khabib vs. McGregor,2018-10-06,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/1ef0eae31904e534
UFC Fight Night: Marreta vs. Anders,2018-09-22,Sao Paulo,Sao Paulo,Brazil,http://ufcstats.com/event-details/852454c572675334
UFC Fight Night: Hunt vs. Oleinik,2018-09-15,Moscow,Moscow,Russia,http://ufcstats.com/event-details/8d49545dadf9b919
UFC 228: Woodley vs. Till,2018-09-08,Dallas,Texas,USA,http://ufcstats.com/event-details/d5ae8074631762fc
UFC Fight Night: Gaethje vs. Vick,2018-08-25,Lincoln,Nebraska,USA,http://ufcstats.com/event-details/c0342805a1948cbb
UFC 227: Dillashaw vs. Garbrandt 2,2018-08-04,Los Angeles,California,USA,http://ufcstats.com/event-details/03b1e846b09f721d
UFC Fight Night: Alvarez vs. Poirier 2,2018-07-28,Calgary,Alberta,Canada,http://ufcstats.com/event-details/322a56923b396b4d
UFC Fight Night: Shogun vs. Smith,2018-07-22,Hamburg,Hamburg,Germany,http://ufcstats.com/event-details/4f732e58ed907eff
UFC Fight Night: Dos Santos vs. Ivanov,2018-07-14,Boise,Idaho,USA,http://ufcstats.com/event-details/b45d6b73f4ca4467
UFC 226: Miocic vs. Cormier,2018-07-07,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/35585d970300d45a
The Ultimate Fighter: Undefeated Finale,2018-07-06,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/8215e4fe24e8e81b
UFC Fight Night: Cowboy vs. Edwards,2018-06-23,Kallang,NULL,Singapore,http://ufcstats.com/event-details/ac5f67109accb482
UFC 225: Whittaker vs. Romero 2,2018-06-09,Chicago,Illinois,USA,http://ufcstats.com/event-details/2eae41f61776c60f
UFC Fight Night: Rivera vs. Moraes,2018-06-01,Utica,New York,USA,http://ufcstats.com/event-details/d29b5c4f22c6357d
UFC Fight Night: Thompson vs. Till,2018-05-27,Liverpool,England,United Kingdom,http://ufcstats.com/event-details/f5990c11974d8e9c
UFC Fight Night: Maia vs. Usman,2018-05-19,Santiago,NULL,Chile,http://ufcstats.com/event-details/3144121470023e9a
UFC 224: Nunes vs. Pennington,2018-05-12,Rio de Janeiro,Rio de Janeiro,Brazil,http://ufcstats.com/event-details/67ec58d7cf599835
UFC Fight Night: Barboza vs. Lee,2018-04-21,Atlantic City,New Jersey,USA,http://ufcstats.com/event-details/ad99fa5325519169
