fighter_f_name,fighter_l_name,fighter_nickname,fighter_height_cm,fighter_weight_lbs,fighter_reach_cm,fighter_stance,fighter_dob,fighter_w,fighter_l,fighter_d,fighter_nc_dq,fighter_url
Vinicius,Oliveira,LokDog,175.26,135,177.8,Switch,1995-11-30,21,3,0,NULL,http://ufcstats.com/fighter-details/18d01f7f8338ae72
Ravena,Oliveira,Kenoudy,165.1,115,165.1,Orthodox,1997-02-20,7,2,1,NULL,http://ufcstats.com/fighter-details/4948e412fa6ab67d
Wendell,Oliveira Marques,The Machine,177.8,170,NULL,Orthodox,1983-06-01,29,10,0,NULL,http://ufcstats.com/fighter-details/32c03df3c9760069
Felipe,Olivieri,NULL,175.26,155,NULL,Orthodox,1985-04-12,14,5,0,1,http://ufcstats.com/fighter-details/948880beac71f028
Andy,Ologun,NULL,182.88,154,NULL,Orthodox,1983-06-12,3,1,0,NULL,http://ufcstats.com/fighter-details/e96d8538d3f9d0ed
Shana,Olsen,Rock Solid,170.18,145,NULL,,1980-12-17,5,2,0,NULL,http://ufcstats.com/fighter-details/dfbb95ca0c143988
Casey,Olson,The Underdog,170.18,145,NULL,Orthodox,NULL,14,5,0,NULL,http://ufcstats.com/fighter-details/7613773461b276f4
Dennis,Olson,NULL,182.88,170,NULL,,NULL,14,11,0,NULL,http://ufcstats.com/fighter-details/8e0709784259402d
Cameron,Olson,Cap'n Crunch,185.42,205,190.5,Orthodox,1989-11-22,7,3,0,1,http://ufcstats.com/fighter-details/5a9104718439ef44
Gadzhi,Omargadzhiev,NULL,185.42,170,180.34,Switch,1993-02-24,13,2,0,NULL,http://ufcstats.com/fighter-details/684d3aee255a3d09
Alan,Omer,NULL,177.8,145,NULL,Orthodox,1988-09-14,20,5,0,NULL,http://ufcstats.com/fighter-details/f2ad06f1007c481a
Daniel,Omielanczuk,NULL,182.88,247,187.96,Southpaw,1982-08-31,19,8,1,1,http://ufcstats.com/fighter-details/470fedbc8563ac47
Michihiro,Omigawa,NULL,167.64000000000001,145,172.72,Orthodox,1975-12-19,17,14,1,NULL,http://ufcstats.com/fighter-details/9f842be1a5337be6
David,Onama,NULL,180.34,145,187.96,Orthodox,1994-06-07,12,2,0,NULL,http://ufcstats.com/fighter-details/ffe9703408fb5964
Charlie,Ontiveros,American Bad Boy,187.96,155,187.96,Switch,1991-07-04,11,9,0,NULL,http://ufcstats.com/fighter-details/318572f6f74b760d
Chibwikem,Onyenegecha,NULL,190.5,185,NULL,Orthodox,1994-04-18,5,0,0,NULL,http://ufcstats.com/fighter-details/887e09328cd63df1
Myktybek,Orolbai,NULL,177.8,155,187.96,Orthodox,1998-02-10,13,1,1,NULL,http://ufcstats.com/fighter-details/bf2c8e01b07d3eb1
Sam,Oropeza,NULL,187.96,170,NULL,,NULL,13,3,0,NULL,http://ufcstats.com/fighter-details/6b8db407d49c6e4b
Brian,Ortega,T-City,172.72,145,175.26,Switch,1991-02-21,16,4,0,1,http://ufcstats.com/fighter-details/def8166ff24bd237
Tito,Ortiz,The People's Champ,190.5,205,187.96,Orthodox,1975-01-23,19,12,1,NULL,http://ufcstats.com/fighter-details/2f732dd9210d301f
